MEA_DDHR,PLANT,LOC,X24H_TMA,X24H_COND_LOC,X24H_COND_LOC_PROB,X48H_TMA,X48H_COND_LOC,X48H_COND_LOC_PROB
2019-04-15 4:00,2,2,2019-04-16 4:00,0,100.00 ,2019-04-17 4:00,0,100.00 
2019-04-15 10:00,1,1,2019-04-16 10:00,0,99.76 ,2019-04-17 10:00,0,99.81 
2019-04-15 13:00,2,3,2019-04-16 13:00,0,99.99 ,2019-04-17 13:00,0,100.00 
2019-04-15 16:00,1,1,2019-04-16 16:00,0,100.00 ,2019-04-17 16:00,1,86.22 
2019-04-15 17:00,1,3,2019-04-16 17:00,0,100.00 ,2019-04-17 17:00,1,100.00 
2019-04-16 1:30,1,2,2019-04-17 1:30,1,98.94 ,2019-04-18 1:30,0,99.08 
2019-04-16 4:00,1,3,2019-04-17 4:00,0,100.00 ,2019-04-18 4:00,1,100.00 
2019-04-16 5:00,2,1,2019-04-17 5:00,0,62.79 ,2019-04-18 5:00,0,99.69 
2019-04-16 6:30,2,1,2019-04-17 6:30,0,99.87 ,2019-04-18 6:30,0,99.71 
2019-04-16 11:00,2,1,2019-04-17 11:00,0,100.00 ,2019-04-18 11:00,0,99.60 
2019-04-16 14:00,1,1,2019-04-17 14:00,0,100.00 ,2019-04-18 14:00,1,82.02 
2019-04-16 14:30,2,3,2019-04-17 14:30,1,97.63 ,2019-04-18 14:30,0,100.00 
2019-04-16 19:30,2,2,2019-04-17 19:30,1,100.00 ,2019-04-18 19:30,1,98.62 
2019-04-16 20:30,1,3,2019-04-17 20:30,0,100.00 ,2019-04-18 20:30,1,100.00 
2019-04-17 0:00,2,1,2019-04-18 0:00,0,99.13 ,2019-04-19 0:00,0,99.62 
2019-04-17 7:00,2,1,2019-04-18 7:00,0,100.00 ,2019-04-19 7:00,0,99.69 
2019-04-17 8:30,2,3,2019-04-18 8:30,0,100.00 ,2019-04-19 8:30,0,55.76 
2019-04-17 14:00,1,1,2019-04-18 14:00,0,100.00 ,2019-04-19 14:00,1,84.60 
2019-04-17 14:30,1,3,2019-04-18 14:30,0,100.00 ,2019-04-19 14:30,1,100.00 
2019-04-17 15:00,2,3,2019-04-18 15:00,1,100.00 ,2019-04-19 15:00,0,100.00 
2019-04-18 1:30,2,2,2019-04-19 1:30,0,100.00 ,2019-04-20 1:30,0,100.00 
2019-04-18 3:00,1,1,2019-04-19 3:00,1,100.00 ,2019-04-20 3:00,0,99.91 
2019-04-18 4:30,1,3,2019-04-19 4:30,0,100.00 ,2019-04-20 4:30,1,100.00 
2019-04-18 11:30,2,1,2019-04-19 11:30,0,100.00 ,2019-04-20 11:30,0,99.60 
2019-04-18 12:00,2,2,2019-04-19 12:00,0,99.99 ,2019-04-20 12:00,0,99.99 
2019-04-18 14:00,2,1,2019-04-19 14:00,0,100.00 ,2019-04-20 14:00,0,99.57 
2019-04-18 16:30,2,2,2019-04-19 16:30,0,100.00 ,2019-04-20 16:30,0,99.96 
2019-04-18 22:00,1,2,2019-04-19 22:00,1,100.00 ,2019-04-20 22:00,0,98.98 
2019-04-18 22:00,2,1,2019-04-19 22:00,0,97.42 ,2019-04-20 22:00,0,99.66 
2019-04-18 23:00,2,3,2019-04-19 23:00,0,99.53 ,2019-04-20 23:00,0,99.99 
2019-04-19 0:30,1,3,2019-04-20 0:30,0,100.00 ,2019-04-21 0:30,1,100.00 
2019-04-19 1:30,2,1,2019-04-20 1:30,0,99.94 ,2019-04-21 1:30,0,99.69 
2019-04-19 4:30,1,2,2019-04-20 4:30,1,96.51 ,2019-04-21 4:30,0,98.95 
2019-04-19 8:30,1,3,2019-04-20 8:30,0,100.00 ,2019-04-21 8:30,1,100.00 
2019-04-19 13:30,1,1,2019-04-20 13:30,0,100.00 ,2019-04-21 13:30,0,92.26 
2019-04-19 14:30,1,2,2019-04-20 14:30,0,73.57 ,2019-04-21 14:30,0,98.96 
2019-04-19 16:30,1,1,2019-04-20 16:30,0,100.00 ,2019-04-21 16:30,0,88.58 
2019-04-19 21:00,2,2,2019-04-20 21:00,0,99.81 ,2019-04-21 21:00,0,99.20 
2019-04-20 0:00,2,2,2019-04-21 0:00,0,100.00 ,2019-04-22 0:00,0,99.93 
2019-04-20 2:30,1,3,2019-04-21 2:30,0,100.00 ,2019-04-22 2:30,1,100.00 
2019-04-20 3:00,2,3,2019-04-21 3:00,0,93.04 ,2019-04-22 3:00,0,99.98 
2019-04-20 8:30,1,2,2019-04-21 8:30,0,99.81 ,2019-04-22 8:30,0,98.92 
2019-04-20 10:30,2,1,2019-04-21 10:30,0,100.00 ,2019-04-22 10:30,0,99.57 
2019-04-20 11:30,2,1,2019-04-21 11:30,0,100.00 ,2019-04-22 11:30,0,99.56 
2019-04-20 11:30,2,3,2019-04-21 11:30,0,100.00 ,2019-04-22 11:30,0,99.99 
2019-04-20 13:00,1,3,2019-04-21 13:00,0,100.00 ,2019-04-22 13:00,1,100.00 
2019-04-20 18:00,2,3,2019-04-21 18:00,1,100.00 ,2019-04-22 18:00,0,100.00 
2019-04-20 19:30,1,1,2019-04-21 19:30,0,99.92 ,2019-04-22 19:30,0,97.75 
2019-04-21 1:00,2,2,2019-04-22 1:00,0,100.00 ,2019-04-23 1:00,0,100.00 
2019-04-21 1:30,1,2,2019-04-22 1:30,1,99.50 ,2019-04-23 1:30,0,98.98 
2019-04-21 2:30,2,1,2019-04-22 2:30,0,99.97 ,2019-04-23 2:30,0,99.70 
2019-04-21 5:30,1,3,2019-04-22 5:30,0,100.00 ,2019-04-23 5:30,1,100.00 
2019-04-21 8:30,1,1,2019-04-22 8:30,1,100.00 ,2019-04-23 8:30,0,99.81 
2019-04-21 11:00,1,1,2019-04-22 11:00,1,100.00 ,2019-04-23 11:00,0,99.68 
2019-04-21 13:30,1,1,2019-04-22 13:30,0,83.74 ,2019-04-23 13:30,0,98.85 
2019-04-21 13:30,1,3,2019-04-22 13:30,0,100.00 ,2019-04-23 13:30,1,100.00 
2019-04-21 18:30,1,1,2019-04-22 18:30,1,53.85 ,2019-04-23 18:30,0,99.28 
2019-04-21 20:30,2,1,2019-04-22 20:30,0,65.79 ,2019-04-23 20:30,0,99.63 
2019-04-21 23:30,1,2,2019-04-22 23:30,1,100.00 ,2019-04-23 23:30,0,99.00 
2019-04-22 0:00,2,1,2019-04-23 0:00,0,99.35 ,2019-04-24 0:00,0,99.70 
2019-04-22 1:00,2,3,2019-04-23 1:00,0,100.00 ,2019-04-24 1:00,0,99.73 
2019-04-22 7:30,1,3,2019-04-23 7:30,0,100.00 ,2019-04-24 7:30,1,100.00 
2019-04-22 7:30,1,1,2019-04-23 7:30,1,100.00 ,2019-04-24 7:30,0,99.99 
2019-04-22 8:30,1,1,2019-04-23 8:30,1,66.03 ,2019-04-24 8:30,0,99.97 
2019-04-22 12:00,1,2,2019-04-23 12:00,0,99.86 ,2019-04-24 12:00,0,98.92 
2019-04-22 13:00,1,2,2019-04-23 13:00,0,67.25 ,2019-04-24 13:00,0,98.98 
2019-04-22 14:00,1,3,2019-04-23 14:00,0,100.00 ,2019-04-24 14:00,1,100.00 
2019-04-22 15:00,1,1,2019-04-23 15:00,0,100.00 ,2019-04-24 15:00,1,88.67 
2019-04-23 2:30,2,1,2019-04-24 2:30,0,99.98 ,2019-04-25 2:30,0,99.66 
2019-04-23 3:00,2,3,2019-04-24 3:00,0,99.21 ,2019-04-25 3:00,0,99.97 
2019-04-23 4:30,2,2,2019-04-24 4:30,0,100.00 ,2019-04-25 4:30,0,100.00 
2019-04-23 7:30,1,1,2019-04-24 7:30,1,98.09 ,2019-04-25 7:30,0,99.94 
2019-04-23 9:00,2,3,2019-04-24 9:00,0,100.00 ,2019-04-25 9:00,0,99.95 
2019-04-23 9:30,2,2,2019-04-24 9:30,1,97.92 ,2019-04-25 9:30,0,100.00 
2019-04-23 17:00,1,2,2019-04-24 17:00,1,74.15 ,2019-04-25 17:00,0,98.99 
2019-04-24 1:30,2,3,2019-04-25 1:30,0,100.00 ,2019-04-26 1:30,0,99.86 
2019-04-24 1:30,1,1,2019-04-25 1:30,1,100.00 ,2019-04-26 1:30,0,99.92 
2019-04-24 4:30,1,2,2019-04-25 4:30,1,98.37 ,2019-04-26 4:30,0,98.94 
2019-04-24 6:00,2,3,2019-04-25 6:00,0,100.00 ,2019-04-26 6:00,0,99.98 
2019-04-24 10:00,2,1,2019-04-25 10:00,0,100.00 ,2019-04-26 10:00,0,99.63 
2019-04-24 16:00,2,1,2019-04-25 16:00,0,99.94 ,2019-04-26 16:00,0,99.50 
2019-04-24 20:00,2,2,2019-04-25 20:00,0,100.00 ,2019-04-26 20:00,0,99.75 
2019-04-25 0:00,2,2,2019-04-26 0:00,0,100.00 ,2019-04-27 0:00,0,100.00 
2019-04-25 0:30,2,1,2019-04-26 0:30,0,99.99 ,2019-04-27 0:30,0,99.71 
2019-04-25 1:30,2,1,2019-04-26 1:30,0,100.00 ,2019-04-27 1:30,0,99.74 
2019-04-25 5:00,2,2,2019-04-26 5:00,0,100.00 ,2019-04-27 5:00,0,100.00 
2019-04-25 7:30,1,2,2019-04-26 7:30,1,79.74 ,2019-04-27 7:30,0,98.97 
2019-04-25 8:30,2,3,2019-04-26 8:30,0,100.00 ,2019-04-27 8:30,0,99.49 
2019-04-25 14:00,2,2,2019-04-26 14:00,0,100.00 ,2019-04-27 14:00,0,100.00 
2019-04-25 14:30,2,2,2019-04-26 14:30,0,100.00 ,2019-04-27 14:30,0,100.00 
2019-04-25 19:00,2,1,2019-04-26 19:00,0,100.00 ,2019-04-27 19:00,0,99.75 
2019-04-25 21:30,2,3,2019-04-26 21:30,0,100.00 ,2019-04-27 21:30,0,96.38 
2019-04-25 22:00,1,1,2019-04-26 22:00,1,100.00 ,2019-04-27 22:00,0,100.00 
2019-04-26 9:00,2,3,2019-04-27 9:00,0,100.00 ,2019-04-28 9:00,0,65.34 
2019-04-26 9:30,2,1,2019-04-27 9:30,0,100.00 ,2019-04-28 9:30,0,99.76 
2019-04-26 11:00,1,1,2019-04-27 11:00,1,100.00 ,2019-04-28 11:00,0,100.00 
2019-04-26 14:00,2,1,2019-04-27 14:00,0,99.99 ,2019-04-28 14:00,0,99.72 
2019-04-26 15:30,1,2,2019-04-27 15:30,1,99.43 ,2019-04-28 15:30,0,99.01 
2019-04-26 15:30,2,1,2019-04-27 15:30,0,99.92 ,2019-04-28 15:30,0,99.73 
2019-04-26 20:00,1,3,2019-04-27 20:00,0,100.00 ,2019-04-28 20:00,1,100.00 
2019-04-26 22:00,2,2,2019-04-27 22:00,0,100.00 ,2019-04-28 22:00,0,100.00 
2019-04-27 1:00,2,2,2019-04-28 1:00,0,100.00 ,2019-04-29 1:00,0,100.00 
2019-04-27 2:00,1,3,2019-04-28 2:00,0,100.00 ,2019-04-29 2:00,1,100.00 
2019-04-27 3:30,2,1,2019-04-28 3:30,0,100.00 ,2019-04-29 3:30,0,99.75 
2019-04-27 4:00,1,1,2019-04-28 4:00,1,100.00 ,2019-04-29 4:00,0,100.00 
2019-04-27 7:00,2,1,2019-04-28 7:00,0,99.88 ,2019-04-29 7:00,0,99.74 
2019-04-27 9:30,1,2,2019-04-28 9:30,0,99.81 ,2019-04-29 9:30,0,98.98 
2019-04-27 12:00,2,1,2019-04-28 12:00,0,100.00 ,2019-04-29 12:00,0,99.63 
2019-04-27 18:00,2,1,2019-04-28 18:00,0,78.13 ,2019-04-29 18:00,0,99.54 
2019-04-27 21:30,1,2,2019-04-28 21:30,1,99.65 ,2019-04-29 21:30,0,99.06 
2019-04-27 22:30,2,3,2019-04-28 22:30,0,99.97 ,2019-04-29 22:30,0,99.91 
2019-04-27 23:00,2,1,2019-04-28 23:00,0,95.67 ,2019-04-29 23:00,0,99.65 
2019-04-28 0:30,2,3,2019-04-29 0:30,0,100.00 ,2019-04-30 0:30,0,99.02 
2019-04-28 5:30,2,2,2019-04-29 5:30,0,100.00 ,2019-04-30 5:30,0,100.00 
2019-04-28 6:00,1,1,2019-04-29 6:00,1,100.00 ,2019-04-30 6:00,0,99.92 
2019-04-28 7:00,1,3,2019-04-29 7:00,0,100.00 ,2019-04-30 7:00,1,100.00 
2019-04-28 8:00,1,2,2019-04-29 8:00,1,93.50 ,2019-04-30 8:00,0,99.02 
2019-04-28 8:30,2,1,2019-04-29 8:30,0,99.99 ,2019-04-30 8:30,0,99.68 
2019-04-28 8:30,2,3,2019-04-29 8:30,0,100.00 ,2019-04-30 8:30,0,99.76 
2019-04-28 9:30,2,3,2019-04-29 9:30,0,100.00 ,2019-04-30 9:30,0,99.24 
2019-04-28 14:30,2,1,2019-04-29 14:30,0,100.00 ,2019-04-30 14:30,0,99.50 
2019-04-28 15:00,2,1,2019-04-29 15:00,0,100.00 ,2019-04-30 15:00,0,99.50 
2019-04-28 16:00,2,2,2019-04-29 16:00,1,100.00 ,2019-04-30 16:00,1,94.33 
2019-04-28 23:30,2,3,2019-04-29 23:30,1,92.89 ,2019-04-30 23:30,0,99.97 
2019-04-29 0:30,1,3,2019-04-30 0:30,0,100.00 ,2019-05-01 0:30,1,100.00 
2019-04-29 6:00,1,2,2019-04-30 6:00,1,96.36 ,2019-05-01 6:00,0,99.00 
